method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,1,1 0 4 9 6,3.255941,4.454192,0.0711,10000,,30.177155,0.041170 0.096257 0.085106 0.035088 0.069791 0.112595 0.056936 0.048574 0.099901 0.079183,0.07246,0.025159,0.035088,0.112595,0.000633,0.077508
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,2,2 1 8 4 3,2.465114,3.553421,0.1656,10000,,60.354309,0.166847 0.165775 0.159112 0.114035 0.158524 0.194656 0.134576 0.193524 0.217606 0.143040,0.16477,0.029233,0.114035,0.217606,0.000855,0.103571
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,3,0 9 1 7 6,1.738432,3.077906,0.2454,10000,,90.531464,0.294691 0.225936 0.259944 0.239474 0.203390 0.291985 0.189441 0.245181 0.258160 0.238825,0.244703,0.032129,0.189441,0.294691,0.001032,0.10525
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,4,8 0 3 5 6,1.141906,3.024491,0.2996,10000,,120.708618,0.366197 0.291444 0.290472 0.266667 0.287139 0.371183 0.233954 0.314572 0.258160 0.319285,0.299907,0.041936,0.233954,0.371183,0.001759,0.137229
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,5,8 6 3 7 4,0.792002,3.169704,0.3181,10000,,150.885773,0.392199 0.259358 0.322849 0.296491 0.289133 0.313931 0.305383 0.364688 0.304649 0.310345,0.315903,0.035794,0.259358,0.392199,0.001281,0.132841
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,6,4 0 2 5 3,0.663443,3.329103,0.3282,10000,,181.062927,0.425785 0.318182 0.325624 0.279825 0.282154 0.365458 0.286749 0.343870 0.322453 0.338442,0.328854,0.041924,0.279825,0.425785,0.001758,0.145961
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,7,5 4 2 1 7,0.541392,3.461256,0.3385,10000,,211.240082,0.432286 0.352941 0.361702 0.285088 0.279163 0.329198 0.321946 0.360833 0.333333 0.338442,0.339493,0.040979,0.279163,0.432286,0.001679,0.153124
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,8,1 9 6 0 2,0.5175,3.495421,0.3513,10000,,241.417236,0.421452 0.378342 0.345051 0.310526 0.340977 0.370229 0.318841 0.364688 0.307616 0.372925,0.353065,0.033759,0.307616,0.421452,0.00114,0.113836
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,9,5 4 0 9 3,0.383805,3.498098,0.3556,10000,,271.594391,0.419285 0.350267 0.379278 0.315789 0.325025 0.390267 0.320911 0.351581 0.333333 0.381865,0.35676,0.032799,0.315789,0.419285,0.001076,0.103495
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,10,8 1 6 0 4,0.37097,3.701749,0.3519,10000,,301.771545,0.423619 0.335561 0.354302 0.330702 0.341974 0.353053 0.328157 0.371627 0.325420 0.352490,0.351691,0.027603,0.32542,0.423619,0.000762,0.098198
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,11,4 5 3 8 0,0.28714,3.852958,0.3454,10000,,331.9487,0.407367 0.331551 0.368178 0.313158 0.304088 0.348282 0.338509 0.369314 0.330366 0.338442,0.344925,0.02863,0.304088,0.407367,0.00082,0.10328
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,12,0 3 4 9 1,0.325102,3.785926,0.3434,10000,,362.125854,0.398700 0.324866 0.358927 0.300877 0.333998 0.371183 0.316770 0.335389 0.344214 0.356322,0.344125,0.02692,0.300877,0.3987,0.000725,0.097823
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,13,1 6 4 3 5,0.238548,4.083082,0.3563,10000,,392.303009,0.424702 0.344920 0.363552 0.324561 0.340977 0.375000 0.353002 0.352352 0.314540 0.381865,0.357547,0.029768,0.31454,0.424702,0.000886,0.110162
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,14,5 2 9 8 1,0.31039,4.101693,0.3587,10000,,422.480164,0.411701 0.359626 0.364477 0.315789 0.323031 0.375954 0.322981 0.389360 0.334322 0.397190,0.359443,0.032467,0.315789,0.411701,0.001054,0.095912
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,15,4 1 2 9 5,0.206637,3.973028,0.3575,10000,,452.657318,0.414951 0.379679 0.366327 0.321930 0.303091 0.383588 0.333333 0.351581 0.346192 0.397190,0.359786,0.033237,0.303091,0.414951,0.001105,0.111861
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,16,3 2 7 9 8,0.28818,4.16544,0.3598,10000,,482.834473,0.426869 0.336898 0.356152 0.331579 0.333001 0.352099 0.321946 0.380879 0.369931 0.392082,0.360144,0.031033,0.321946,0.426869,0.000963,0.104923
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,17,8 3 5 6 0,0.211494,4.212388,0.3638,10000,,513.011627,0.448537 0.346257 0.357077 0.343860 0.356929 0.367366 0.327122 0.367772 0.348170 0.381865,0.364495,0.031492,0.327122,0.448537,0.000992,0.121415
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,18,3 0 5 9 2,0.159378,4.412778,0.3591,10000,,543.188782,0.431203 0.391711 0.353377 0.324561 0.315055 0.386450 0.314700 0.350810 0.349159 0.402299,0.361932,0.037551,0.3147,0.431203,0.00141,0.116503
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,19,1 3 5 9 7,0.149141,4.695877,0.3651,10000,,573.365936,0.425785 0.375668 0.371878 0.324561 0.337986 0.367366 0.340580 0.364688 0.368942 0.390805,0.366826,0.027333,0.324561,0.425785,0.000747,0.101224
fedavg,cifar100,dirichlet,0.3,,,10,0.714166,0.518442,20,7 6 9 1 2,0.198169,4.5275,0.3728,10000,,603.543091,0.451788 0.385027 0.358002 0.335088 0.354935 0.383588 0.337474 0.369314 0.364985 0.411239,0.375144,0.03348,0.335088,0.451788,0.001121,0.1167
