method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,1,1 0 4 9 6,4.15776,4.236878,0.116,10000,,30.177155,0.113281 0.127835 0.118660 0.095573 0.112621 0.098214 0.119145 0.128458 0.129534 0.117526,0.116085,0.011181,0.095573,0.129534,0.000125,0.03396
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,2,2 1 8 4 3,3.29256,3.248122,0.2277,10000,,60.354309,0.227539 0.246392 0.243062 0.208249 0.194175 0.220238 0.245418 0.262846 0.222798 0.206186,0.22769,0.020444,0.194175,0.262846,0.000418,0.068671
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,3,0 9 1 7 6,2.451094,2.958279,0.2823,10000,,90.531464,0.280273 0.309278 0.288038 0.267606 0.272816 0.285714 0.313646 0.286561 0.266321 0.252577,0.282283,0.01795,0.252577,0.313646,0.000322,0.061068
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,4,8 0 3 5 6,1.637439,3.05062,0.309,10000,,120.708618,0.296875 0.328866 0.302392 0.311871 0.299029 0.301587 0.334012 0.320158 0.309845 0.286598,0.309123,0.014144,0.286598,0.334012,0.0002,0.047414
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,5,8 6 3 7 4,1.105531,3.354009,0.3187,10000,,150.885773,0.300781 0.342268 0.311962 0.318913 0.314563 0.341270 0.341141 0.325099 0.299482 0.291753,0.318723,0.017574,0.291753,0.342268,0.000309,0.050515
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,6,4 0 2 5 3,0.957732,3.448156,0.3318,10000,,181.062927,0.302734 0.358763 0.325359 0.324950 0.323301 0.341270 0.389002 0.331028 0.332642 0.290722,0.331977,0.026043,0.290722,0.389002,0.000678,0.09828
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,7,5 4 2 1 7,0.744462,3.694433,0.3352,10000,,211.240082,0.298828 0.344330 0.332057 0.339034 0.346602 0.354167 0.371690 0.329051 0.325389 0.311340,0.335249,0.019888,0.298828,0.37169,0.000396,0.072862
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,8,1 9 6 0 2,0.70217,3.79877,0.35,10000,,241.417236,0.324219 0.354639 0.348325 0.352113 0.333981 0.377976 0.368635 0.381423 0.329534 0.328866,0.349971,0.019832,0.324219,0.381423,0.000393,0.057204
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,9,5 4 0 9 3,0.513413,4.055889,0.3582,10000,,271.594391,0.333008 0.373196 0.346411 0.356137 0.366019 0.376984 0.394094 0.367589 0.344041 0.324742,0.358222,0.020281,0.324742,0.394094,0.000411,0.069351
fedavg,cifar100,dirichlet,6,,,10,0.213699,0.14437,10,8 1 6 0 4,0.502665,4.088766,0.3517,10000,,301.771545,0.315430 0.357732 0.349282 0.356137 0.342718 0.372024 0.379837 0.362648 0.351295 0.330928,0.351803,0.017928,0.31543,0.379837,0.000321,0.064407
