method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,1,1 0 4 9 6,4.245427,4.011051,0.1281,10000,,30.177155,0.138000 0.122000 0.112000 0.124000 0.116000 0.140000 0.147000 0.134000 0.116000 0.131000,0.128,0.011162,0.112,0.147,0.000125,0.035
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,2,2 1 8 4 3,3.361709,3.277527,0.2242,10000,,60.354309,0.210000 0.208000 0.201000 0.223000 0.219000 0.240000 0.244000 0.221000 0.235000 0.229000,0.223,0.013446,0.201,0.244,0.000181,0.043
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,3,0 9 1 7 6,2.47,2.984146,0.2846,10000,,90.531464,0.293000 0.266000 0.264000 0.307000 0.278000 0.288000 0.269000 0.307000 0.292000 0.285000,0.2849,0.014822,0.264,0.307,0.00022,0.043
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,4,8 0 3 5 6,1.640363,3.077761,0.3039,10000,,120.708618,0.310000 0.300000 0.288000 0.325000 0.302000 0.306000 0.296000 0.313000 0.305000 0.311000,0.3056,0.009625,0.288,0.325,9.3e-05,0.037
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,5,8 6 3 7 4,1.120862,3.372752,0.3134,10000,,150.885773,0.301000 0.307000 0.301000 0.336000 0.290000 0.323000 0.290000 0.329000 0.318000 0.335000,0.313,0.016661,0.29,0.336,0.000278,0.046
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,6,4 0 2 5 3,0.95387,3.546924,0.325,10000,,181.062927,0.322000 0.310000 0.334000 0.332000 0.314000 0.333000 0.317000 0.331000 0.331000 0.331000,0.3255,0.008476,0.31,0.334,7.2e-05,0.024
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,7,5 4 2 1 7,0.785127,3.741305,0.3297,10000,,211.240082,0.339000 0.316000 0.330000 0.347000 0.303000 0.340000 0.307000 0.334000 0.333000 0.339000,0.3288,0.014197,0.303,0.347,0.000202,0.044
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,8,1 9 6 0 2,0.723418,3.802126,0.3423,10000,,241.417236,0.342000 0.336000 0.325000 0.373000 0.327000 0.337000 0.337000 0.350000 0.343000 0.350000,0.342,0.013,0.325,0.373,0.000169,0.048
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,9,5 4 0 9 3,0.523915,4.157767,0.3471,10000,,271.594391,0.350000 0.333000 0.327000 0.350000 0.331000 0.351000 0.347000 0.347000 0.344000 0.361000,0.3441,0.010034,0.327,0.361,0.000101,0.034
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,10,8 1 6 0 4,0.511089,4.355006,0.3494,10000,,301.771545,0.347000 0.326000 0.326000 0.366000 0.332000 0.353000 0.348000 0.367000 0.338000 0.353000,0.3456,0.014151,0.326,0.367,0.0002,0.041
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,11,4 5 3 8 0,0.395026,4.659529,0.3391,10000,,331.9487,0.342000 0.327000 0.328000 0.339000 0.319000 0.331000 0.349000 0.362000 0.346000 0.355000,0.3398,0.012906,0.319,0.362,0.000167,0.043
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,12,0 3 4 9 1,0.395134,4.514489,0.3409,10000,,362.125854,0.336000 0.326000 0.324000 0.348000 0.335000 0.339000 0.338000 0.339000 0.345000 0.350000,0.338,0.00805,0.324,0.35,6.5e-05,0.026
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,13,1 6 4 3 5,0.343089,4.792947,0.3405,10000,,392.303009,0.341000 0.310000 0.334000 0.355000 0.315000 0.354000 0.341000 0.342000 0.345000 0.357000,0.3394,0.01516,0.31,0.357,0.00023,0.047
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,14,5 2 9 8 1,0.41938,4.906219,0.3507,10000,,422.480164,0.360000 0.349000 0.337000 0.355000 0.344000 0.352000 0.336000 0.349000 0.356000 0.362000,0.35,0.008438,0.336,0.362,7.1e-05,0.026
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,15,4 1 2 9 5,0.308263,4.937175,0.3456,10000,,452.657318,0.356000 0.325000 0.338000 0.368000 0.336000 0.351000 0.326000 0.354000 0.341000 0.354000,0.3449,0.013247,0.325,0.368,0.000175,0.043
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,16,3 2 7 9 8,0.434729,4.925246,0.354,10000,,482.834473,0.359000 0.345000 0.332000 0.358000 0.354000 0.350000 0.336000 0.358000 0.365000 0.369000,0.3526,0.011351,0.332,0.369,0.000129,0.037
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,17,8 3 5 6 0,0.327138,5.19531,0.3469,10000,,513.011627,0.341000 0.327000 0.342000 0.356000 0.350000 0.352000 0.327000 0.340000 0.350000 0.367000,0.3452,0.011839,0.327,0.367,0.00014,0.04
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,18,3 0 5 9 2,0.262461,5.217375,0.3436,10000,,543.188782,0.332000 0.322000 0.309000 0.358000 0.345000 0.342000 0.322000 0.341000 0.348000 0.372000,0.3391,0.017626,0.309,0.372,0.000311,0.063
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,19,1 3 5 9 7,0.303767,5.297595,0.3481,10000,,573.365936,0.345000 0.334000 0.326000 0.359000 0.340000 0.351000 0.342000 0.335000 0.346000 0.376000,0.3454,0.013448,0.326,0.376,0.000181,0.05
fedavg,cifar100,feature_skew,,,1.0,10,0.071511,0.048006,20,7 6 9 1 2,0.30588,5.223696,0.3444,10000,,603.543091,0.336000 0.330000 0.313000 0.357000 0.345000 0.351000 0.328000 0.336000 0.362000 0.361000,0.3419,0.015261,0.313,0.362,0.000233,0.049
