method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedavg,cifar100,iid,,,,10,0.071511,0.048006,1,1 0 4 9 6,4.247915,4.017939,0.1304,10000,,30.177155,0.144000 0.129000 0.115000 0.127000 0.118000 0.135000 0.140000 0.145000 0.129000 0.122000,0.1304,0.009942,0.115,0.145,9.9e-05,0.03
fedavg,cifar100,iid,,,,10,0.071511,0.048006,2,2 1 8 4 3,3.35353,3.279797,0.2227,10000,,60.354309,0.208000 0.204000 0.212000 0.239000 0.222000 0.234000 0.230000 0.216000 0.240000 0.222000,0.2227,0.012133,0.204,0.24,0.000147,0.036
fedavg,cifar100,iid,,,,10,0.071511,0.048006,3,0 9 1 7 6,2.464868,2.982853,0.29,10000,,90.531464,0.281000 0.280000 0.281000 0.296000 0.291000 0.295000 0.265000 0.314000 0.308000 0.289000,0.29,0.013601,0.265,0.314,0.000185,0.049
fedavg,cifar100,iid,,,,10,0.071511,0.048006,4,8 0 3 5 6,1.645796,3.062165,0.3093,10000,,120.708618,0.312000 0.303000 0.299000 0.328000 0.304000 0.315000 0.297000 0.324000 0.293000 0.318000,0.3093,0.011279,0.293,0.328,0.000127,0.035
fedavg,cifar100,iid,,,,10,0.071511,0.048006,5,8 6 3 7 4,1.125424,3.39956,0.3135,10000,,150.885773,0.330000 0.301000 0.284000 0.331000 0.306000 0.324000 0.307000 0.322000 0.310000 0.320000,0.3135,0.01393,0.284,0.331,0.000194,0.047
fedavg,cifar100,iid,,,,10,0.071511,0.048006,6,4 0 2 5 3,0.954979,3.511753,0.3163,10000,,181.062927,0.335000 0.305000 0.315000 0.326000 0.305000 0.308000 0.314000 0.309000 0.312000 0.334000,0.3163,0.010771,0.305,0.335,0.000116,0.03
fedavg,cifar100,iid,,,,10,0.071511,0.048006,7,5 4 2 1 7,0.773952,3.79239,0.3294,10000,,211.240082,0.338000 0.319000 0.317000 0.340000 0.317000 0.326000 0.315000 0.334000 0.347000 0.341000,0.3294,0.011342,0.315,0.347,0.000129,0.032
fedavg,cifar100,iid,,,,10,0.071511,0.048006,8,1 9 6 0 2,0.719015,4.004558,0.3439,10000,,241.417236,0.353000 0.323000 0.342000 0.352000 0.340000 0.334000 0.335000 0.348000 0.350000 0.362000,0.3439,0.010784,0.323,0.362,0.000116,0.039
fedavg,cifar100,iid,,,,10,0.071511,0.048006,9,5 4 0 9 3,0.530702,4.354264,0.3445,10000,,271.594391,0.344000 0.322000 0.345000 0.348000 0.346000 0.340000 0.341000 0.345000 0.350000 0.364000,0.3445,0.009821,0.322,0.364,9.6e-05,0.042
fedavg,cifar100,iid,,,,10,0.071511,0.048006,10,8 1 6 0 4,0.511743,4.261025,0.3434,10000,,301.771545,0.339000 0.327000 0.335000 0.348000 0.337000 0.350000 0.327000 0.348000 0.359000 0.364000,0.3434,0.011926,0.327,0.364,0.000142,0.037
fedavg,cifar100,iid,,,,10,0.071511,0.048006,11,4 5 3 8 0,0.413734,4.490971,0.3417,10000,,331.9487,0.346000 0.332000 0.335000 0.339000 0.346000 0.333000 0.332000 0.347000 0.338000 0.369000,0.3417,0.010678,0.332,0.369,0.000114,0.037
fedavg,cifar100,iid,,,,10,0.071511,0.048006,12,0 3 4 9 1,0.396869,4.599766,0.3406,10000,,362.125854,0.340000 0.330000 0.321000 0.352000 0.346000 0.338000 0.323000 0.348000 0.348000 0.360000,0.3406,0.012076,0.321,0.36,0.000146,0.039
fedavg,cifar100,iid,,,,10,0.071511,0.048006,13,1 6 4 3 5,0.327045,4.93952,0.3411,10000,,392.303009,0.339000 0.331000 0.323000 0.347000 0.343000 0.332000 0.338000 0.342000 0.348000 0.368000,0.3411,0.011562,0.323,0.368,0.000134,0.045
fedavg,cifar100,iid,,,,10,0.071511,0.048006,14,5 2 9 8 1,0.434376,4.788935,0.3438,10000,,422.480164,0.351000 0.319000 0.349000 0.359000 0.349000 0.338000 0.329000 0.349000 0.334000 0.361000,0.3438,0.012742,0.319,0.361,0.000162,0.042
fedavg,cifar100,iid,,,,10,0.071511,0.048006,15,4 1 2 9 5,0.292561,4.900287,0.3394,10000,,452.657318,0.330000 0.333000 0.334000 0.350000 0.349000 0.328000 0.332000 0.332000 0.355000 0.351000,0.3394,0.009902,0.328,0.355,9.8e-05,0.027
fedavg,cifar100,iid,,,,10,0.071511,0.048006,16,3 2 7 9 8,0.431723,4.967685,0.3513,10000,,482.834473,0.339000 0.347000 0.336000 0.355000 0.353000 0.345000 0.344000 0.348000 0.364000 0.382000,0.3513,0.01276,0.336,0.382,0.000163,0.046
fedavg,cifar100,iid,,,,10,0.071511,0.048006,17,8 3 5 6 0,0.337659,5.077414,0.3445,10000,,513.011627,0.340000 0.337000 0.336000 0.363000 0.354000 0.339000 0.330000 0.345000 0.332000 0.369000,0.3445,0.012564,0.33,0.369,0.000158,0.039
fedavg,cifar100,iid,,,,10,0.071511,0.048006,18,3 0 5 9 2,0.244745,5.246069,0.3392,10000,,543.188782,0.326000 0.336000 0.333000 0.349000 0.345000 0.343000 0.329000 0.343000 0.341000 0.347000,0.3392,0.007414,0.326,0.349,5.5e-05,0.023
fedavg,cifar100,iid,,,,10,0.071511,0.048006,19,1 3 5 9 7,0.274682,5.128657,0.3452,10000,,573.365936,0.335000 0.340000 0.341000 0.348000 0.351000 0.349000 0.340000 0.348000 0.339000 0.361000,0.3452,0.007264,0.335,0.361,5.3e-05,0.026
fedavg,cifar100,iid,,,,10,0.071511,0.048006,20,7 6 9 1 2,0.310146,5.121097,0.3512,10000,,603.543091,0.343000 0.340000 0.355000 0.346000 0.360000 0.351000 0.348000 0.348000 0.360000 0.361000,0.3512,0.007111,0.34,0.361,5.1e-05,0.021
