method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,1,1 0 4 9 6,4.189697,3.802404,0.1769,10000,,30.177155,0.175338 0.173913 0.135135 0.179745 0.192771 0.200000 0.222222 0.172840 0.183946 0.174302,0.181021,0.021228,0.135135,0.222222,0.000451,0.087087
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,2,2 1 8 4 3,2.76118,2.78344,0.3121,10000,,60.354309,0.302463 0.315994 0.297297 0.329380 0.379518 0.327536 0.296296 0.407407 0.351171 0.308380,0.331544,0.035358,0.296296,0.407407,0.00125,0.111111
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,3,0 9 1 7 6,1.636538,2.926428,0.3457,10000,,90.531464,0.339403 0.342391 0.270270 0.363139 0.409639 0.310145 0.333333 0.419753 0.397993 0.350838,0.35369,0.043768,0.27027,0.419753,0.001916,0.149483
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,4,8 0 3 5 6,1.102908,3.140576,0.3638,10000,,120.708618,0.357093 0.356366 0.270270 0.390511 0.427711 0.362319 0.296296 0.456790 0.354515 0.374302,0.364617,0.052002,0.27027,0.45679,0.002704,0.18652
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,5,8 6 3 7 4,0.740965,3.85426,0.3592,10000,,150.885773,0.353798 0.365683 0.270270 0.365876 0.409639 0.330435 0.333333 0.481481 0.344482 0.376536,0.363153,0.052324,0.27027,0.481481,0.002738,0.211211
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,6,4 0 2 5 3,0.760051,4.048895,0.3461,10000,,181.062927,0.345820 0.341615 0.378378 0.342153 0.367470 0.324638 0.222222 0.481481 0.334448 0.357542,0.349577,0.059845,0.222222,0.481481,0.003581,0.259259
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,7,5 4 2 1 7,0.815756,4.524483,0.34,10000,,211.240082,0.336629 0.337733 0.324324 0.348540 0.385542 0.321739 0.259259 0.358025 0.374582 0.343017,0.338939,0.032834,0.259259,0.385542,0.001078,0.126283
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,8,1 9 6 0 2,0.723801,4.371771,0.3704,10000,,241.417236,0.369233 0.361801 0.297297 0.358577 0.379518 0.371014 0.333333 0.456790 0.404682 0.387709,0.371996,0.039911,0.297297,0.45679,0.001593,0.159493
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,9,5 4 0 9 3,0.617165,4.553312,0.3768,10000,,271.594391,0.375130 0.357919 0.378378 0.383212 0.421687 0.371014 0.222222 0.432099 0.421405 0.385475,0.374854,0.056063,0.222222,0.432099,0.003143,0.209877
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,10,8 1 6 0 4,0.57776,4.451807,0.374,10000,,301.771545,0.371835 0.383540 0.324324 0.368613 0.391566 0.365217 0.333333 0.493827 0.411371 0.360894,0.380452,0.04488,0.324324,0.493827,0.002014,0.169503
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,11,4 5 3 8 0,0.531174,4.796801,0.3676,10000,,331.9487,0.363510 0.362578 0.297297 0.368613 0.385542 0.368116 0.333333 0.456790 0.381271 0.387709,0.370476,0.038659,0.297297,0.45679,0.001495,0.159493
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,12,0 3 4 9 1,0.49422,4.836299,0.3702,10000,,362.125854,0.371315 0.354037 0.351351 0.358577 0.403614 0.371014 0.370370 0.432099 0.411371 0.375419,0.379917,0.025455,0.351351,0.432099,0.000648,0.080747
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,13,1 6 4 3 5,0.570578,5.080072,0.3632,10000,,392.303009,0.365938 0.339286 0.351351 0.364964 0.373494 0.356522 0.296296 0.456790 0.391304 0.363128,0.365907,0.038504,0.296296,0.45679,0.001483,0.160494
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,14,5 2 9 8 1,0.5622,5.184967,0.3733,10000,,422.480164,0.370794 0.368012 0.324324 0.375000 0.391566 0.373913 0.296296 0.432099 0.384615 0.386592,0.370321,0.035175,0.296296,0.432099,0.001237,0.135802
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,15,4 1 2 9 5,0.636251,5.313868,0.3551,10000,,452.657318,0.351023 0.350932 0.297297 0.364051 0.397590 0.347826 0.444444 0.419753 0.397993 0.350838,0.372175,0.04052,0.297297,0.444444,0.001642,0.147147
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,16,3 2 7 9 8,0.616084,5.034065,0.3746,10000,,482.834473,0.368366 0.375000 0.270270 0.373175 0.421687 0.391304 0.370370 0.469136 0.401338 0.387709,0.382836,0.047524,0.27027,0.469136,0.002259,0.198866
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,17,8 3 5 6 0,0.527503,5.160946,0.3697,10000,,513.011627,0.365765 0.366460 0.351351 0.375912 0.385542 0.376812 0.333333 0.456790 0.384615 0.375419,0.3772,0.0305,0.333333,0.45679,0.00093,0.123457
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,18,3 0 5 9 2,0.506779,5.517545,0.3657,10000,,543.188782,0.362817 0.361025 0.378378 0.369526 0.415663 0.373913 0.296296 0.481481 0.374582 0.362011,0.377569,0.044357,0.296296,0.481481,0.001968,0.185185
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,19,1 3 5 9 7,0.497,5.248331,0.3603,10000,,573.365936,0.357614 0.354814 0.270270 0.358577 0.385542 0.368116 0.333333 0.444444 0.394649 0.365363,0.363272,0.042153,0.27027,0.444444,0.001777,0.174174
fedavg,cifar100,quantity_skew,,0.5,,10,0.222763,0.129469,20,7 6 9 1 2,0.587422,5.476994,0.3575,10000,,603.543091,0.353625 0.343944 0.324324 0.350365 0.373494 0.350725 0.259259 0.493827 0.381271 0.394413,0.362525,0.056181,0.259259,0.493827,0.003156,0.234568
