method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,1,1 0 4 9 6,0.143765,0.562071,0.8917,10000,1,63.45253,0.842448 0.848000 0.878924 0.927315 0.857891 0.937603 0.935223 0.898374 0.892784 0.880026,0.889859,0.033256,0.842448,0.937603,0.001106,0.095155
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,2,2 1 8 4 3,0.062837,0.100248,0.9684,10000,1,126.90506,0.981771 0.931556 0.955157 0.976852 0.977562 0.963875 0.964575 0.960705 0.971134 0.977664,0.966085,0.014146,0.931556,0.981771,0.0002,0.050215
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,3,0 9 1 7 6,0.029283,0.064837,0.9769,10000,1,190.35759,0.990885 0.959111 0.964126 0.979630 0.982797 0.981938 0.976721 0.971545 0.971134 0.978302,0.975619,0.00889,0.959111,0.990885,7.9e-05,0.031774
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,4,8 0 3 5 6,0.024681,0.052129,0.9829,10000,1,253.81012,0.996094 0.976000 0.968610 0.983796 0.992521 0.986864 0.956478 0.983740 0.983505 0.988513,0.981612,0.011176,0.956478,0.996094,0.000125,0.039616
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,5,8 6 3 7 4,0.019717,0.052653,0.9832,10000,1,317.26265,0.997396 0.980444 0.964126 0.977315 0.994016 0.981938 0.965587 0.986450 0.987629 0.988513,0.982341,0.010428,0.964126,0.997396,0.000109,0.03327
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,6,4 0 2 5 3,0.01627,0.047931,0.984,10000,1,380.715179,0.994792 0.980444 0.977578 0.983333 0.995512 0.986864 0.967611 0.985095 0.977320 0.984046,0.98326,0.007877,0.967611,0.995512,6.2e-05,0.027901
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,7,5 4 2 1 7,0.016698,0.041602,0.9856,10000,1,444.167709,0.994792 0.977778 0.973094 0.986574 0.988033 0.986864 0.975709 0.987805 0.983505 0.990428,0.984458,0.006541,0.973094,0.994792,4.3e-05,0.021697
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,8,1 9 6 0 2,0.013911,0.031254,0.9883,10000,1,507.620239,0.993490 0.984889 0.973094 0.990278 0.991025 0.985222 0.981781 0.989160 0.985567 0.991066,0.986557,0.005644,0.973094,0.99349,3.2e-05,0.020395
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,9,5 4 0 9 3,0.010481,0.037768,0.9878,10000,1,571.072769,0.996094 0.987556 0.973094 0.985185 0.995512 0.988506 0.974696 0.989160 0.985567 0.991066,0.986644,0.007265,0.973094,0.996094,5.3e-05,0.023
fedprox,mnist,dirichlet,0.3,,,10,0.729401,0.538756,10,8 1 6 0 4,0.009618,0.036744,0.9885,10000,1,634.525299,0.993490 0.979556 0.995516 0.987037 0.988781 0.998358 0.982794 0.993225 0.983505 0.992342,0.98946,0.005821,0.979556,0.998358,3.4e-05,0.018802
