method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,1,1 0 4 9 6,0.252158,0.061772,0.9816,10000,1,63.45253,0.983317 0.986471 0.970779 0.974900 0.979705 0.983432 0.981635 0.986042 0.984520 0.984901,0.98157,0.004845,0.970779,0.986471,2.3e-05,0.015692
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,2,2 1 8 4 3,0.064172,0.03519,0.9875,10000,1,126.90506,0.988224 0.994363 0.981602 0.983936 0.985240 0.985799 0.986226 0.986042 0.992260 0.990708,0.98744,0.003739,0.981602,0.994363,1.4e-05,0.012761
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,3,0 9 1 7 6,0.041828,0.029154,0.9897,10000,1,190.35759,0.993131 0.993236 0.988095 0.987952 0.988930 0.988166 0.984389 0.988036 0.994582 0.989547,0.989606,0.00296,0.984389,0.994582,9e-06,0.010193
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,4,8 0 3 5 6,0.030616,0.027926,0.991,10000,1,253.81012,0.995093 0.995490 0.989177 0.987952 0.989852 0.985799 0.990817 0.989033 0.994582 0.990708,0.99085,0.003074,0.985799,0.99549,9e-06,0.009692
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,5,8 6 3 7 4,0.023362,0.025052,0.9919,10000,1,317.26265,0.995093 0.996618 0.989177 0.990964 0.991697 0.988166 0.989899 0.990030 0.994582 0.991870,0.99181,0.002633,0.988166,0.996618,7e-06,0.008452
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,6,4 0 2 5 3,0.023163,0.025694,0.9917,10000,1,380.715179,0.992149 0.995490 0.991342 0.989960 0.990775 0.989349 0.988062 0.991027 0.995356 0.993031,0.991654,0.0023,0.988062,0.99549,5e-06,0.007428
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,7,5 4 2 1 7,0.024127,0.023486,0.9915,10000,1,444.167709,0.995093 0.994363 0.989177 0.989960 0.992620 0.988166 0.988981 0.989033 0.993808 0.993031,0.991423,0.002476,0.988166,0.995093,6e-06,0.006928
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,8,1 9 6 0 2,0.018081,0.022643,0.992,10000,1,507.620239,0.995093 0.994363 0.988095 0.990964 0.991697 0.989349 0.989899 0.992024 0.995356 0.991870,0.991871,0.002326,0.988095,0.995356,5e-06,0.007261
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,9,5 4 0 9 3,0.014649,0.024414,0.9924,10000,1,571.072769,0.994112 0.995490 0.991342 0.990964 0.993542 0.989349 0.990817 0.992024 0.993034 0.993031,0.992371,0.001724,0.989349,0.99549,3e-06,0.006141
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,10,8 1 6 0 4,0.012208,0.024024,0.9927,10000,1,634.525299,0.997056 0.995490 0.989177 0.990964 0.992620 0.990533 0.991736 0.993021 0.993808 0.991870,0.992627,0.002231,0.989177,0.997056,5e-06,0.007878
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,11,4 5 3 8 0,0.010618,0.024216,0.9925,10000,1,697.977829,0.993131 0.996618 0.990260 0.990964 0.993542 0.989349 0.991736 0.992024 0.993034 0.994193,0.992485,0.001993,0.989349,0.996618,4e-06,0.007269
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,12,0 3 4 9 1,0.011573,0.024857,0.9925,10000,1,761.430359,0.994112 0.996618 0.990260 0.990964 0.992620 0.991716 0.990817 0.992024 0.993034 0.993031,0.99252,0.001766,0.99026,0.996618,3e-06,0.006358
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,13,1 6 4 3 5,0.01109,0.024678,0.9928,10000,1,824.882889,0.993131 0.996618 0.990260 0.991968 0.993542 0.991716 0.991736 0.991027 0.994582 0.993031,0.992761,0.001762,0.99026,0.996618,3e-06,0.006358
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,14,5 2 9 8 1,0.012824,0.022335,0.9931,10000,1,888.335419,0.994112 0.997745 0.989177 0.991968 0.994465 0.990533 0.993572 0.991027 0.994582 0.993031,0.993021,0.002332,0.989177,0.997745,5e-06,0.008568
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,15,4 1 2 9 5,0.009232,0.023106,0.9926,10000,1,951.787949,0.994112 0.996618 0.988095 0.991968 0.993542 0.991716 0.992654 0.991027 0.993034 0.993031,0.99258,0.002089,0.988095,0.996618,4e-06,0.008523
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,16,3 2 7 9 8,0.011196,0.022197,0.9933,10000,1,1015.240479,0.994112 0.995490 0.990260 0.991968 0.994465 0.992899 0.993572 0.992024 0.995356 0.991870,0.993202,0.001608,0.99026,0.99549,3e-06,0.005231
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,17,8 3 5 6 0,0.008642,0.023237,0.9927,10000,1,1078.693008,0.994112 0.996618 0.988095 0.990964 0.993542 0.990533 0.991736 0.992024 0.994582 0.994193,0.99264,0.002326,0.988095,0.996618,5e-06,0.008523
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,18,3 0 5 9 2,0.006117,0.022683,0.9934,10000,1,1142.145538,0.993131 0.997745 0.990260 0.991968 0.994465 0.992899 0.991736 0.992024 0.994582 0.995354,0.993416,0.002053,0.99026,0.997745,4e-06,0.007485
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,19,1 3 5 9 7,0.006648,0.023594,0.9932,10000,1,1205.598068,0.994112 0.996618 0.989177 0.991968 0.994465 0.990533 0.992654 0.992024 0.994582 0.995354,0.993149,0.002171,0.989177,0.996618,5e-06,0.00744
fedprox,mnist,dirichlet,6,,,10,0.158857,0.106701,20,7 6 9 1 2,0.010508,0.023047,0.9933,10000,1,1269.050598,0.995093 0.997745 0.989177 0.991968 0.994465 0.991716 0.994490 0.990030 0.994582 0.993031,0.99323,0.002437,0.989177,0.997745,6e-06,0.008568
