method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,1,1 0 4 9 6,0.262252,0.057668,0.9813,10000,1,63.45253,0.985000 0.987000 0.986000 0.985000 0.985000 0.984000 0.976000 0.975000 0.971000 0.983000,0.9817,0.005274,0.971,0.987,2.8e-05,0.016
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,2,2 1 8 4 3,0.064118,0.034742,0.9891,10000,1,126.90506,0.993000 0.992000 0.992000 0.992000 0.994000 0.988000 0.984000 0.989000 0.977000 0.989000,0.989,0.004879,0.977,0.994,2.4e-05,0.017
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,3,0 9 1 7 6,0.041778,0.029539,0.9903,10000,1,190.35759,0.992000 0.993000 0.993000 0.992000 0.995000 0.991000 0.985000 0.989000 0.981000 0.989000,0.99,0.004,0.981,0.995,1.6e-05,0.014
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,4,8 0 3 5 6,0.030865,0.026358,0.9904,10000,1,253.81012,0.993000 0.993000 0.994000 0.992000 0.995000 0.990000 0.988000 0.990000 0.982000 0.988000,0.9905,0.00364,0.982,0.995,1.3e-05,0.013
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,5,8 6 3 7 4,0.024649,0.024373,0.9922,10000,1,317.26265,0.995000 0.992000 0.994000 0.994000 0.997000 0.991000 0.992000 0.993000 0.983000 0.989000,0.992,0.003661,0.983,0.997,1.3e-05,0.014
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,6,4 0 2 5 3,0.024224,0.023929,0.9926,10000,1,380.715179,0.992000 0.994000 0.997000 0.996000 0.996000 0.993000 0.990000 0.991000 0.986000 0.990000,0.9925,0.003233,0.986,0.997,1e-05,0.011
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,7,5 4 2 1 7,0.019461,0.02249,0.9929,10000,1,444.167709,0.994000 0.994000 0.995000 0.996000 0.996000 0.993000 0.991000 0.994000 0.985000 0.989000,0.9927,0.003288,0.985,0.996,1.1e-05,0.011
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,8,1 9 6 0 2,0.018137,0.024265,0.9924,10000,1,507.620239,0.995000 0.994000 0.995000 0.996000 0.996000 0.992000 0.990000 0.993000 0.984000 0.988000,0.9923,0.003716,0.984,0.996,1.4e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,9,5 4 0 9 3,0.013401,0.024346,0.9926,10000,1,571.072769,0.994000 0.994000 0.996000 0.995000 0.996000 0.993000 0.992000 0.994000 0.984000 0.988000,0.9926,0.003611,0.984,0.996,1.3e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,10,8 1 6 0 4,0.015558,0.023831,0.9927,10000,1,634.525299,0.994000 0.995000 0.994000 0.997000 0.997000 0.990000 0.993000 0.993000 0.985000 0.989000,0.9927,0.003551,0.985,0.997,1.3e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,11,4 5 3 8 0,0.010987,0.023885,0.9931,10000,1,697.977829,0.994000 0.995000 0.995000 0.997000 0.997000 0.992000 0.993000 0.994000 0.985000 0.989000,0.9931,0.003506,0.985,0.997,1.2e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,12,0 3 4 9 1,0.010888,0.025363,0.9932,10000,1,761.430359,0.994000 0.994000 0.994000 0.997000 0.997000 0.994000 0.993000 0.994000 0.984000 0.989000,0.993,0.003661,0.984,0.997,1.3e-05,0.013
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,13,1 6 4 3 5,0.008866,0.025204,0.9935,10000,1,824.882889,0.995000 0.994000 0.995000 0.997000 0.997000 0.994000 0.994000 0.993000 0.985000 0.989000,0.9933,0.003494,0.985,0.997,1.2e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,14,5 2 9 8 1,0.013059,0.024945,0.993,10000,1,888.335419,0.994000 0.995000 0.995000 0.995000 0.997000 0.993000 0.992000 0.995000 0.984000 0.988000,0.9928,0.003736,0.984,0.997,1.4e-05,0.013
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,15,4 1 2 9 5,0.008148,0.024558,0.9933,10000,1,951.787949,0.995000 0.995000 0.994000 0.996000 0.997000 0.994000 0.992000 0.994000 0.985000 0.989000,0.9931,0.003419,0.985,0.997,1.2e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,16,3 2 7 9 8,0.012398,0.023315,0.9937,10000,1,1015.240479,0.995000 0.995000 0.994000 0.997000 0.997000 0.995000 0.993000 0.992000 0.985000 0.989000,0.9932,0.003544,0.985,0.997,1.3e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,17,8 3 5 6 0,0.008309,0.02369,0.9931,10000,1,1078.693008,0.995000 0.995000 0.996000 0.996000 0.997000 0.994000 0.993000 0.992000 0.985000 0.988000,0.9931,0.003646,0.985,0.997,1.3e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,18,3 0 5 9 2,0.005325,0.024455,0.9932,10000,1,1142.145538,0.995000 0.995000 0.995000 0.997000 0.997000 0.994000 0.993000 0.992000 0.985000 0.988000,0.9931,0.003673,0.985,0.997,1.3e-05,0.012
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,19,1 3 5 9 7,0.005659,0.024373,0.9935,10000,1,1205.598068,0.993000 0.995000 0.996000 0.997000 0.998000 0.994000 0.992000 0.993000 0.984000 0.989000,0.9931,0.00391,0.984,0.998,1.5e-05,0.014
fedprox,mnist,feature_skew,,,1.0,10,0.019092,0.012836,20,7 6 9 1 2,0.008515,0.024107,0.9933,10000,1,1269.050598,0.995000 0.995000 0.996000 0.997000 0.998000 0.992000 0.992000 0.992000 0.985000 0.989000,0.9931,0.003754,0.985,0.998,1.4e-05,0.013
