method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,iid,,,,10,0.019092,0.012836,1,1 0 4 9 6,0.262259,0.056316,0.9824,10000,1,63.45253,0.986000 0.987000 0.986000 0.985000 0.986000 0.985000 0.977000 0.976000 0.972000 0.984000,0.9824,0.005044,0.972,0.987,2.5e-05,0.015
fedprox,mnist,iid,,,,10,0.019092,0.012836,2,2 1 8 4 3,0.064345,0.036522,0.988,10000,1,126.90506,0.993000 0.991000 0.992000 0.990000 0.996000 0.986000 0.982000 0.987000 0.978000 0.985000,0.988,0.005177,0.978,0.996,2.7e-05,0.018
fedprox,mnist,iid,,,,10,0.019092,0.012836,3,0 9 1 7 6,0.041006,0.030298,0.9899,10000,1,190.35759,0.993000 0.993000 0.991000 0.992000 0.995000 0.989000 0.985000 0.989000 0.984000 0.988000,0.9899,0.00339,0.984,0.995,1.1e-05,0.011
fedprox,mnist,iid,,,,10,0.019092,0.012836,4,8 0 3 5 6,0.030308,0.025925,0.9908,10000,1,253.81012,0.994000 0.993000 0.995000 0.991000 0.996000 0.989000 0.986000 0.991000 0.983000 0.990000,0.9908,0.003842,0.983,0.996,1.5e-05,0.013
fedprox,mnist,iid,,,,10,0.019092,0.012836,5,8 6 3 7 4,0.024649,0.024142,0.9922,10000,1,317.26265,0.993000 0.993000 0.995000 0.994000 0.995000 0.991000 0.993000 0.992000 0.986000 0.990000,0.9922,0.002561,0.986,0.995,7e-06,0.009
fedprox,mnist,iid,,,,10,0.019092,0.012836,6,4 0 2 5 3,0.023416,0.023633,0.9924,10000,1,380.715179,0.992000 0.994000 0.995000 0.996000 0.996000 0.992000 0.989000 0.994000 0.985000 0.991000,0.9924,0.003262,0.985,0.996,1.1e-05,0.011
fedprox,mnist,iid,,,,10,0.019092,0.012836,7,5 4 2 1 7,0.020491,0.023215,0.9924,10000,1,444.167709,0.995000 0.994000 0.992000 0.998000 0.997000 0.993000 0.991000 0.992000 0.984000 0.988000,0.9924,0.003929,0.984,0.998,1.5e-05,0.014
fedprox,mnist,iid,,,,10,0.019092,0.012836,8,1 9 6 0 2,0.017982,0.023523,0.9926,10000,1,507.620239,0.995000 0.994000 0.995000 0.997000 0.996000 0.992000 0.990000 0.992000 0.985000 0.990000,0.9926,0.003412,0.985,0.997,1.2e-05,0.012
fedprox,mnist,iid,,,,10,0.019092,0.012836,9,5 4 0 9 3,0.014508,0.024328,0.9929,10000,1,571.072769,0.994000 0.995000 0.996000 0.995000 0.997000 0.994000 0.990000 0.993000 0.985000 0.990000,0.9929,0.003419,0.985,0.997,1.2e-05,0.012
fedprox,mnist,iid,,,,10,0.019092,0.012836,10,8 1 6 0 4,0.014852,0.024195,0.9928,10000,1,634.525299,0.994000 0.995000 0.996000 0.995000 0.997000 0.989000 0.994000 0.993000 0.985000 0.990000,0.9928,0.003516,0.985,0.997,1.2e-05,0.012
fedprox,mnist,iid,,,,10,0.019092,0.012836,11,4 5 3 8 0,0.011214,0.023592,0.9929,10000,1,697.977829,0.994000 0.995000 0.996000 0.996000 0.997000 0.991000 0.994000 0.992000 0.985000 0.989000,0.9929,0.003534,0.985,0.997,1.2e-05,0.012
fedprox,mnist,iid,,,,10,0.019092,0.012836,12,0 3 4 9 1,0.010705,0.024472,0.9931,10000,1,761.430359,0.995000 0.994000 0.997000 0.995000 0.997000 0.990000 0.992000 0.995000 0.985000 0.991000,0.9931,0.003506,0.985,0.997,1.2e-05,0.012
fedprox,mnist,iid,,,,10,0.019092,0.012836,13,1 6 4 3 5,0.009926,0.024179,0.9932,10000,1,824.882889,0.995000 0.995000 0.995000 0.996000 0.997000 0.993000 0.992000 0.994000 0.985000 0.990000,0.9932,0.003341,0.985,0.997,1.1e-05,0.012
fedprox,mnist,iid,,,,10,0.019092,0.012836,14,5 2 9 8 1,0.01147,0.023878,0.9931,10000,1,888.335419,0.995000 0.995000 0.996000 0.993000 0.998000 0.993000 0.992000 0.994000 0.985000 0.990000,0.9931,0.003419,0.985,0.998,1.2e-05,0.013
fedprox,mnist,iid,,,,10,0.019092,0.012836,15,4 1 2 9 5,0.00776,0.023719,0.9932,10000,1,951.787949,0.995000 0.995000 0.996000 0.995000 0.998000 0.994000 0.991000 0.993000 0.985000 0.990000,0.9932,0.003516,0.985,0.998,1.2e-05,0.013
