method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,1,1 0 4 9 6,0.538865,0.056665,0.9818,10000,1,63.45253,0.985085 0.979814 1.000000 0.972628 0.987952 0.968116 0.925926 0.987654 0.963211 0.985475,0.975586,0.019453,0.925926,1.0,0.000378,0.074074
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,2,2 1 8 4 3,0.05591,0.030655,0.9896,10000,1,126.90506,0.991849 0.988354 0.972973 0.989051 0.987952 0.985507 0.962963 1.000000 0.973244 0.985475,0.983737,0.010302,0.962963,1.0,0.000106,0.037037
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,3,0 9 1 7 6,0.035041,0.02517,0.9917,10000,1,190.35759,0.993063 0.994565 1.000000 0.988139 0.993976 0.985507 0.962963 1.000000 0.979933 0.988827,0.988697,0.010423,0.962963,1.0,0.000109,0.037037
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,4,8 0 3 5 6,0.026817,0.023016,0.9919,10000,1,253.81012,0.993410 0.995342 0.972973 0.989051 0.993976 0.979710 1.000000 1.000000 0.983278 0.987709,0.989545,0.008373,0.972973,1.0,7e-05,0.027027
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,5,8 6 3 7 4,0.016869,0.02619,0.9912,10000,1,317.26265,0.993410 0.993012 0.972973 0.986314 0.987952 0.979710 0.962963 1.000000 0.983278 0.988827,0.984844,0.010227,0.962963,1.0,0.000105,0.037037
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,6,4 0 2 5 3,0.022634,0.027634,0.991,10000,1,380.715179,0.992889 0.993012 0.972973 0.987226 0.981928 0.982609 1.000000 1.000000 0.986622 0.986592,0.988385,0.007948,0.972973,1.0,6.3e-05,0.027027
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,7,5 4 2 1 7,0.02406,0.02821,0.9909,10000,1,444.167709,0.992542 0.992236 0.972973 0.989964 0.993976 0.982609 0.962963 1.000000 0.976589 0.987709,0.985156,0.010739,0.962963,1.0,0.000115,0.037037
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,8,1 9 6 0 2,0.018413,0.0238,0.9927,10000,1,507.620239,0.994624 0.994565 0.972973 0.990876 0.993976 0.982609 1.000000 1.000000 0.973244 0.989944,0.989281,0.009375,0.972973,1.0,8.8e-05,0.027027
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,9,5 4 0 9 3,0.011976,0.02419,0.993,10000,1,571.072769,0.994971 0.993012 1.000000 0.992701 0.993976 0.979710 1.000000 1.000000 0.979933 0.988827,0.992313,0.007155,0.97971,1.0,5.1e-05,0.02029
fedprox,mnist,quantity_skew,,0.5,,10,0.046296,0.027121,10,8 1 6 0 4,0.008213,0.021001,0.9931,10000,1,634.525299,0.994971 0.994565 1.000000 0.991788 0.993976 0.979710 0.962963 1.000000 0.979933 0.989944,0.988785,0.0109,0.962963,1.0,0.000119,0.037037
